編號,原文,臺灣用語,大陸用語,其他用語,
146,backtracking,回溯,回溯[法] ,,
147,backtracking algorithm,回溯演算法,回溯計算,,
148,backtracking method,回溯法,回溯法,,
149,backtracking operation,回溯操作,回溯操作,,
150,backtracking point,回溯點,回溯點,,
151,backtracking programming,回溯法規劃,,,
152,backup,後備；備用；備份；備製,備份 ,,
153,backup address register	,備用位址暫存器,,,
154,backup and recovery,備份與復原,備份與恢復 ,,
155,backup battery,備份電池,後援電池,,
156,back-up battery,備援電池,后援電池 ,,
157,backup bit,備份位元,後援位,,
158,backup cache,備援快取,后援高速緩存 ,,
159,backup capability,備份能力,後備能力,,
160,backup circuit,備份電路,備份回路，備份電路,,
161,backup communication processor,備份通信處理機,備份通信處理機,,
162,backup computer	,備用計算機,,,
163,backup copy,備份複製,副本 ,,
164,backup digital computer	,備用數位電腦,,,
165,backup disk,備用磁碟,後援磁盤,,
166,backup diskette,備份磁片,後援塑料磁盤,,
167,back-up diskette,備份磁片,后備軟盤 ,,
168,backup file,備份檔案；用檔,備份文件 ,,
169,backup fixed disk,備用固定式磁碟,備份固定的磁盤,,
170,backup frequency,備用頻率,備用頻率,,
171,backup method,備份方法,後援法,,
172,backup mode,備用模態,後援形式,,
173,backup path,備份路徑,後備路徑,,
174,backup plan,備份計畫,後備計畫,,
175,backup procedure,備用程序,備份過程 ,,
176,backup programmer,備援程式設計師,,,
177,backup protection,備份保護,後備保護裝置,,
178,backup reference station,備份參考站,,,
179,backup register	,備用暫存器,,,
180,backup storage,備份儲存器,后援存儲器 ,,
181,backup store,備份儲存器,,,
182,backup system,備用系統,後援系統，後備系統,,
183,back-up system,備援系統,后援系統, *后備系統 ,,
184,backup tape,備份帶,備份帶,,
185,backup trunk,備份中繼線,,,
186,backup version,備份版本,,,
187,backup volume,備份卷,,,
188,backup volume clean-up process,備份卷清理過程,,,
189,Backus normal form	,巴科斯正規形式,巴克斯范式,,
190,Backus-Naur form	,巴科斯諾爾形式,巴克斯-諾爾形式,,
