編號,原文,臺灣用語,大陸用語,其他用語,
1957,optimum thresholding,最佳定限,,,
1958,optimum traffic frequency	,最佳流量頻率,,,
1959,optimum transmission block length,最佳傳輸塊長,,,
1960,optimum transmission frequency,最佳傳輸頻率,,,
1961,optimum working frequence	,最佳工作頻率,,,
1962,optimum-interval interpolation,最佳區間內插法,,,
1963,option,選項；任選,選件 ,,
1964,option attribute,任選屬性,,,
1965,option bill,選用清冊,,,
1966,option blank,任選空白,,,
1967,option box,選項框（盒）,,,
1968,option card,任選卡,,,
1969,option character,任選字元,,,
1970,option command,任選命令,,,
1971,option component record,任選組件記錄,,,
1972,option feature,任選特徵,,,
1973,option field,任選欄,,,
1974,option indicator,任選指示器,,,
1975,option interface,任選介面,,,
1976,option list,選項列表,,,
1977,option select number,選用選擇號碼,,,
1978,option switch,任選開關,,,
1979,option table,任選表,,,
1980,option table generator	,任選表產生器,,,
1981,optional,任選,,,
1982,optional argument,任選引數,,,
1983,optional equipment,任選設備；附加設備,,,
1984,optional field,選項欄,,,
1985,optional file,任選檔案,,,
1986,optional function,任選功能,,,
1987,optional half instruction,任選半指令,,,
1988,optional halt,任選停機,,,
1989,optional halt instruction,任選停機指令,,,
1990,optional instruction set,任選指令集,,,
1991,optional interrupt,任選中斷,,,
1992,optional library of program,任選程式庫,,,
1993,optional member,任選成員,,,
1994,optional membership class,任選隸屬類別,,,
1995,optional mounting base,選項安裝基座,,,
1996,optional multilevel interruption,任選多級中斷,,,
1997,optional network facilities,任選網路設施,,,
1998,optional numeric statement number,任選數字敘述號碼,,,
1999,optional operation,任選作業,,,
2000,optional operator,任選運算子,,,
2001,optional parallel instrument bus,任選平行儀器匯流排,,,
2002,optional pause instruction,任選暫停指令；隨意暫停指令,,,
2003,optional planner limits,選用規劃員限制,,,
2004,optional priority,任選優先,,,
2005,optional report limits,選用報表限制,,,
2006,optional resident routine,任選常駐常式,,,
2007,optional routing algorithm,選項選路演算法,,,
2008,optional selective operator,任選操作員,,,
2009,optional set membership,任選集合隸屬性,,,
2010,optional stop,選擇停機；條件停機,,,
2011,optional stop instruction,可選停止指令；選擇停機指令；條件停機指令；隨意停止指令,,,
2012,optional subscription-time selectable service,任選預約時間可選業務,任選的預約時可選業務 ,,
2013,optional switched channel,任選交換通道,,,
2014,optional transfer condition,任選傳送條件,,,
2015,optional user facility,任選使用者設施,任選用戶設施 ,,
2016,optional variance percent,選項方差百分比,,,
2017,optional vertical parity check,選項垂直同位核對,,,
2018,optional word,選項字,,,
2019,optoacoustic transducer,光聲轉換器,,,
2020,optoacoustics,光聲學,,,
2021,opto-coupler,光耦合器,,,
2022,optoelectronic device,光電子裝置,,,
2023,optoelectronic directional coupler,光電子定向耦合器,,,
2024,optoelectronic hybrids,光電子併合電路,,,
2025,optoelectronic input,光電子輸入,,,
2026,optoelectronic integrated circuit	,光電子積體電路,,,
2027,optoelectronic isolator	,光電子隔離器,,,
2028,optoelectronic memory,光電子記憶體,,,
2029,optoelectronic multiplex switch	,光電子多工開關,,,
2030,optoelectronic pulse amplifier	,光電子脈衝放大器,,,
2031,optoelectronic receiver,光電子接收機,,,
2032,optoelectronic scanner,光電掃瞄器,,,
2033,optoelectronic storage,光電子儲存器,,,
2034,optoelectronic technology,光電子技術,,,
2035,optoelectronics,光電子學,,,
2036,opto-isolator,光隔離器,光隔離器 ,,
2037,optomagnetics,光磁學,,,
2038,optomechanical mouse,光學機械滑鼠,光機械鼠標[器] ,,
2039,opto-mechanical mouse,光學機械滑鼠,,,
2040,optotransistor,光電晶體,,,
2041,optron,光導發光元件,,,
2042,or,或,,,
2043,OR circuit,或電路,,,
2044,OR element,或元件,,,
2045,OR function,或功能,,,
2046,OR gate,或閘,或門 ,,
2047,OR logic gates,OR邏輯閘,,,
2048,OR NOT gate,或反閘,,,
2049,OR operation,或運算,,,
