編號,原文,臺灣用語,大陸用語,其他用語,
141,call sign series,呼號序列,,,
142,call signal,呼叫信號,,,
143,call stack,呼叫堆疊,,,
144,call statement,呼叫敘述,,,
145,call statement manipulation,呼叫敘述調處,,,
146,call subroutine,呼叫次常式,,,
147,call subscriber,呼叫用戶,,,
148,call supervision packet,通話監視封包,,,
149,call through,接通,,,
150,call through test,接通試驗,,,
151,call type,呼叫型式,,,
152,call type macro,呼叫型式巨集,,,
153,call unit,呼叫單元,,,
154,call waiting,呼叫等待,,,
155,call word,呼叫字,,,
156,callable,可呼叫,,,
157,call-back,回叫,回叫 ,,
158,called indicator,被叫指示器,,,
159,called line,被叫線,,,
160,called party,被叫方,,,
161,called position,被叫位置,,,
162,called procedure,被叫程序,,,
163,called process,被叫過程,,,
164,called program,被叫程式,,,
165,called routine,被叫常式,,,
166,called station,被叫站,,,
167,called subprogram listing,被叫次程式列表,,,
168,called subscriber,被叫用戶,,,
169,called terminal,被叫終端,,,
170,callee,被呼叫程式,被調用者 ,,
171,caller,呼叫程式,調用者 ,,
172,caller activation pointer,呼叫程式啟動指標,,,
173,caller dependent capability,與呼叫程式相關能力,,,
174,caller independent capability,呼叫程式獨立能力,,,
175,caller notification packet,呼叫程式通知封包,,,
176,calligraphic display,書寫顯示器,,,
177,calligraphic display device,書寫顯示裝置,,,
178,calligraphical coding,書寫編碼,字形編碼 ,,
179,calling,呼叫,呼叫 ,,
180,calling argument,呼叫引數,,,
181,calling classification,呼叫分類,,,
182,calling code,呼叫碼,,,
183,calling convention,呼叫約定,,,
184,calling device,呼叫裝置,,,
185,calling DTE,呼叫DTE；呼叫資料終端設備,,,
186,calling frequency,呼叫頻率,,,
187,calling graph,呼叫圖,,,
188,calling identification line,呼叫識別線,,,
189,calling indicator,呼叫指示器,,,
190,calling library,呼叫程式館,,,
191,calling list,呼叫串列,,,
192,calling location,呼叫位置,,,
193,calling module,呼叫模組,,,
194,calling party,呼叫方,,,
195,calling point,呼叫點,,,
196,calling procedure,呼叫程序,,,
197,calling process,呼叫過程,,,
198,calling processor,呼叫處理機,,,
199,calling program,呼叫程式,,,
200,calling rate,呼叫率,,,
201,calling rate capacity,呼叫率容量,,,
202,calling relay,呼叫繼電器,,,
203,calling routine,呼叫常式,,,
204,calling segment,呼叫程序段,,,
205,calling sequence,呼叫順序；召用序列,,,
206,calling signal,呼叫信號,,,
207,calling station,呼叫站,,,
208,calling task,呼叫任務,,,
209,calling trace,呼叫追蹤,,,
210,calling up,接通,,,
211,CAM,電腦輔助製造,計算機輔助制造 ,,
212,Cambridge ring,劍橋環,,,
213,camera calibration,攝影機校準,攝像機標定 ,,
214,campus network,校園網路,園區網 ,,
215,cancel,取消,,,
216,cancel character,取消字元,,,
217,cancel code,取消碼,,,
218,cancel indicator,取消指示器,,,
219,cancel key,取消鍵,,,
220,cancel message,取消訊息,,,
221,cancel order,取消訂單,,,
222,cancel session request,取消對話請求,,,
223,cancel statement,取消陳述,,,
224,cancel status word,取消狀態字,,,
225,cancellation,消去；相消,注銷 ,,
226,cancellation effect,相消效應,,,
227,cancellation law,相消定律,,,
228,cancellation law of addition,加法消去定律,,,
229,cancellation mark,取消標示,,,
230,cancellation network,相消網路,,,
231,cancellation of record,記錄消除,,,
232,cancellation ratio,取消比率,,,
233,cancelling advice,取消通知,,,
234,cancelling in digits,數位相消,,,
235,cancelling signal,取消信號,,,
236,candidate,候選者,,,
237,candidate key,候選鍵,候選[鍵]碼 ,,
238,candidate solution,候選解,候選解 ,,
239,candidate solution graph,候選解圖,,,
240,candidate volume,候選卷,,,
