系統編號,英文名稱,中文名稱,圖片,更新時間
2361538,down-line key loading,下線金鑰載入,,2015-09-11
2361539,downcall,下呼叫法,,2015-09-11
2361540,downconvert,降頻轉換器,,2015-09-11
2361541,downconverter,降頻轉頻器,,2015-09-11
2361542,downgrade,降級,,2015-09-11
2361543,downline load,下線載入,,2015-09-11
2361544,downline loading,下線載入,,2015-09-11
2361545,downline system load,下線系統載入,,2015-09-11
2361546,downline task load,下線任務載入,,2015-09-11
2361547,downline-load facility,下線載入設施,,2015-09-11
2361548,downlink and uplink,下行鏈路與上行鏈路,,2015-09-11
2361549,download,下載,,2015-09-11
2361550,download charges,下載費用,,2015-09-11
2361551,download count,下載計數,,2015-09-11
2361552,download for OS/390,OS/390作業系統下載,,2015-09-11
2361553,download manager,下載管理器,,2015-09-11
2361554,download site,下載(資訊網)站,,2015-09-11
2361555,downloadable font,下載字型,,2015-09-11
2361556,downloaded fully described font,下載全描述字型,,2015-09-11
2361557,downloaded resource,下載資源,,2015-09-11
2361558,downloading,下載,,2015-09-11
2361559,downloading utility,下載程式,,2015-09-11
2361560,downmix,下降混合,,2015-09-11
2361561,downsample,降低取樣,,2015-09-11
2361562,downsizing,小型化,,2015-09-11
2361563,Downstream Boundary,下游閉塞界限,,2015-09-11
2361564,downstream keyer,下游加鍵器,,2015-09-11
2361565,downstroke,重打,,2015-09-11
2361566,downtime,當機時間，停機時間,,2015-09-11
2361567,downtime ratio,停機時間比,,2015-09-11
2361568,downward closed,向下閉合,,2015-09-11
2361569,downward compatibility,向下相容性,,2015-09-11
2361570,downward multiplexing,向下多工,,2015-09-11
2361571,downward reference,向下引用，向下參照,,2015-09-11
2361572,downward transition,向下變遷,,2015-09-11
2361573,downware logic-transition,向下邏輯變遷,,2015-09-11
2361574,DP,資料處理,,2015-09-11
2361575,DPF host receiver,DPF主機接收器,,2015-09-11
2361576,DPL,DECmpp 機器的並行語言,,2015-09-11
2361577,DPMA Certificate,資料處理管理協會憑證,,2015-09-11
2361578,Dr. Watson,Dr. Watson 視窗診斷軟體,,2015-09-11
2361579,draco,Pascal， C和ALGOL 68三種語言的混合體,,2015-09-11
2361580,draft,草稿，製圖,,2015-09-11
2361581,draft copy,草稿,,2015-09-11
2361582,draft document,草稿文件,,2015-09-11
2361583,Draft Gear,牽引裝置,,2015-09-11
2361584,draft international standard,製圖國際標準,,2015-09-11
2361585,draft machine,製圖機,,2015-09-11
2361586,draft mode,草稿列印模式,,2015-09-11
2361587,draft offering,草稿提供,,2015-09-11
2361588,draft once reuse many,一次製圖多次再用,,2015-09-11
