系統編號,英文名稱,中文名稱,圖片,更新時間
2341541,bidirectional printer,雙向列印機,,2015-09-11
2341542,bidirectional printing,雙向列印,,2015-09-11
2341543,bidirectional production systems,雙向生產系統,,2015-09-11
2341544,bidirectional pulse,雙向脈衝,,2015-09-11
2341545,bidirectional pulse train,雙向脈衝列,,2015-09-11
2341546,bidirectional reading,雙向讀,,2015-09-11
2341547,bidirectional relationship,雙向關係,,2015-09-11
2341548,bidirectional search,雙向搜尋,,2015-09-11
2341549,bidirectional search process,雙向搜尋處理,,2015-09-11
2341550,bidirectional search with equal speed,等速雙向搜尋,,2015-09-11
2341551,bidirectional shift register,雙向移位暫存器,,2015-09-11
2341552,bidirectional switch,雙向開關,,2015-09-11
2341553,bidirectional system,雙向系統,,2015-09-11
2341554,bidirectional test port,雙向測試埠,,2015-09-11
2341555,bidirectional transceiver element，BTE,雙向收發器元件,,2015-09-11
2341556,bidirectional transistor,雙向電晶體,,2015-09-11
2341557,bidirectional transmission,雙向傳輸,,2015-09-11
2341558,bidirectional wave form,雙向波形,,2015-09-11
2341559,biduplexed redundancy，BDR,雙向雙工冗餘（度）,,2015-09-11
2341560,biduplexed system,兩雙工系統,,2015-09-11
2341561,Biel mean time,Biel 平均時間；畢爾平均時間,,2015-09-11
2341562,biff,biff 來郵提示,,2015-09-11
2341563,bifilar,雙股的,,2015-09-11
2341564,bifocal,雙焦點透鏡,,2015-09-11
2341565,bifurcate,分叉（的）,,2015-09-11
2341566,bifurcated contact,雙叉式接頭,,2015-09-11
2341567,bifurcation,分歧，分叉，雙叉,,2015-09-11
2341568,bifurcation connector,雙叉式連接器,,2015-09-11
2341569,bifurcational value,分歧值,,2015-09-11
2341570,big bag of pages,大頁袋,,2015-09-11
2341571,big bang testing,簡捷測試法,,2015-09-11
2341572,big blue,藍色巨人（意指IBM公司）,,2015-09-11
2341573,Big Chief tablet,Big Chief 板,,2015-09-11
2341574,big close-up,大特寫,,2015-09-11
2341575,big fat wide shot,大廣角攝影,,2015-09-11
2341576,Big Gray Wall,全套 VMS 文件,,2015-09-11
2341577,big iron,大型主機,,2015-09-11
2341578,big red switch,大紅開關,,2015-09-11
2341579,big tree,大喬木；大樹,,2015-09-11
2341580,big win,好事；大勝,,2015-09-11
2341581,Big-5 code,Big-5碼,,2015-09-11
2341582,big-O notation,大O記法,,2015-09-11
2341583,Bigloo,Bigloo 編譯器,,2015-09-11
2341584,bignum,大數(縮寫),,2015-09-11
2341585,bigram,雙字母組,,2015-09-11
2341586,bigraph,偶圖,,2015-09-11
2341587,biharmonic equation,雙調和方程式,,2015-09-11
2341588,biharmonic operator,雙調和運算子,,2015-09-11
2341589,biharmonic partial differential equation，BIPDE,雙調和偏微分方程式,,2015-09-11
2341590,bilanguage form,雙語言形式,,2015-09-11
2341591,bilateral agreement,雙邊協議,,2015-09-11
2341592,bilateral array,雙向陣列,,2015-09-11
2341593,bilateral closed user group,雙閉合用戶組,,2015-09-11
2341594,bilateral control,雙向控制,,2015-09-11
2341595,bilateral diffusion,雙向擴散,,2015-09-11
2341596,bilateral diode switch,雙向二極體開關,,2015-09-11
2341597,bilateral Laplace transformation,雙側拉普拉斯變換,,2015-09-11
2341598,bilateral network,雙向網路,,2015-09-11
2341599,bilateral surface,雙側表面,,2015-09-11
2341600,bilateral switch,雙向開關,,2015-09-11
2341601,bilateral synchronization,雙向同步,,2015-09-11
2341602,Bildschir mtext，BTX,貝爾茨系統，雙向訊息視傳系統,,2015-09-11
2341603,bilinear filtering,雙線性濾波,,2015-09-11
2341604,bilinear form,雙線性形式,,2015-09-11
2341605,bilinear formula,雙線性公式,,2015-09-11
2341606,bilinear integral form,雙線性積分形式,,2015-09-11
2341607,bilinear interpolation,雙線性內插,,2015-09-11
2341608,bilinear surface,雙線性曲面,,2015-09-11
2341609,bilinear system,雙線性系統,,2015-09-11
2341610,bilingual,雙語,,2015-09-11
2341611,bilingual alignment,雙語對齊,,2015-09-11
2341612,bilingual command list,雙語命令表列,,2015-09-11
2341613,bilingual machine readable dictionary,雙語機器可讀詞典,,2015-09-11
2341614,bill,帳單，清單,,2015-09-11
2341615,bill board antenna,廣告板式天線,,2015-09-11
2341616,Bill Gates,比爾蓋茲,,2015-09-11
2341617,bill of lading，BL,提單,,2015-09-11
2341618,bill of material processor,材料清單處理機,,2015-09-11
2341619,bill of material system，BOM,材料清單系統,,2015-09-11
2341620,bill of material，BOM,材料清單,,2015-09-11
2341621,bill of sale，BS,銷售清單,,2015-09-11
2341622,bill payment,記帳支付,,2015-09-11
2341623,billboard,預告（節目開始時的插播）,,2015-09-11
2341624,billi-bit,十億位元,,2015-09-11
2341625,billi-cycle,十億週,,2015-09-11
2341626,billing,記帳,,2015-09-11
2341627,billing and accounting computer,收帳與會計計算機,,2015-09-11
2341628,Billing Category,帳單種類,,2015-09-11
2341629,billing cycle,帳單週期,,2015-09-11
2341630,billing increment,記帳增量,,2015-09-11
2341631,billing machine,記帳機器,,2015-09-11
2341632,Billing Media Code,帳單媒體代碼,,2015-09-11
2341633,billing punch,票據打孔器,,2015-09-11
2341634,Billing Status,帳單狀態,,2015-09-11
2341635,billing transaction,帳單異動,,2015-09-11
2341636,billion,十億,,2015-09-11
2341637,billion instructions per second，BIPS,每秒十億條指令（CPU速度的測量單位）,,2015-09-11
2341638,billion operations per second,每秒十億次運算,,2015-09-11
2341639,billions of bits per second,每秒十億位元,,2015-09-11
2341640,bilogical,雙邏輯的,,2015-09-11
2341641,BIMED program,BIMED程式，用於生物醫學統計的程式,,2015-09-11
2341642,bimodal,雙模態的,,2015-09-11
2341643,bimodal virus,雙模病毒,,2015-09-11
2341644,bimorph,雙壓電晶片,,2015-09-11
2341645,bimorph memory cell,雙壓電晶片記憶體格,,2015-09-11
2341646,bin,箱,,2015-09-11
2341647,bin card,卡片箱,,2015-09-11
2341648,bin location,箱位，倉位,,2015-09-11
2341649,bin packing,裝箱,,2015-09-11
2341650,bin packing problem,裝箱問題,,2015-09-11
2341651,binary accumulator,二進制累加器,,2015-09-11
2341652,binary adder,二進制加法器,,2015-09-11
2341653,binary adding circuit,二進制加法電路,,2015-09-11
2341654,binary adding device,二進制加法裝置,,2015-09-11
2341655,binary addition,二進制加法,,2015-09-11
2341656,binary address,二進制位址,,2015-09-11
2341657,binary algebraic adder,二進制代數加法器,,2015-09-11
2341658,binary alphabet,二進制字母表,,2015-09-11
2341659,binary analog conversion，BAC,二進制類比轉換,,2015-09-11
2341660,binary arithmetic,二進制算術,,2015-09-11
2341661,binary arithmetic operation,二進制算術運算，二進運算,,2015-09-11
2341662,binary array,二進制陣列,,2015-09-11
2341663,binary asymmetric channel，BAC,二元非對稱通道,,2015-09-11
2341664,binary asymmetric dependent channel,二元非對稱相依通道,,2015-09-11
2341665,binary attribute,二進制屬性,,2015-09-11
2341666,binary B-tree,二元B樹,,2015-09-11
2341667,Binary Baud Rate,二進制鮑率,,2015-09-11
2341668,binary bit,二進制位元,,2015-09-11
2341669,binary Boolean operation,二進制布林（邏輯）運算,,2015-09-11
2341670,binary card,二進制卡片,,2015-09-11
2341671,binary card image object file,二進制卡片影像目的檔案,,2015-09-11
2341672,binary cell,二進制格,,2015-09-11
2341673,binary chain,二元鍊接,,2015-09-11
2341674,binary channel,二進制通道,,2015-09-11
2341675,binary character,二進制字元，二進字元,,2015-09-11
2341676,binary character set,二進制字元集,,2015-09-11
