系統編號,英文名稱,中文名稱,圖片,更新時間
2421530,serial computing,串列計算,,2015-09-11
2421531,serial control interface，SCI,串列控制介面,,2015-09-11
2421532,serial control processor,串列控制處理機,,2015-09-11
2421533,serial copy management system，SCMS,串聯複製管理系統,,2015-09-11
2421534,serial correlation,串列相關,,2015-09-11
2421535,serial cryptographic device，SCD,串列密碼裝置,,2015-09-11
2421536,serial data,串列資料,,2015-09-11
2421537,serial data controller，SDC,串列資料控制器,,2015-09-11
2421538,serial data exchange，SERDEX,串列資料交換（機）,,2015-09-11
2421539,serial data form,串列資料形式,,2015-09-11
2421540,serial data handshaking,串列資料交握（過程）,,2015-09-11
2421541,serial data input,串列資料輸入,,2015-09-11
2421542,serial data link,串列資料鏈,,2015-09-11
2421543,serial data mode,串列資料模式,,2015-09-11
2421544,serial data output,串列資料輸出,,2015-09-11
2421545,serial data representation,串列資料表示法,,2015-09-11
2421546,serial data set,串列資料集,,2015-09-11
2421547,serial data stream,串列資料流,,2015-09-11
2421548,serial data transfer,串列資料傳送,,2015-09-11
2421549,serial data transmission，SDT,串列資料傳輸,,2015-09-11
2421550,serial decomposition,串列分解,,2015-09-11
2421551,serial device,串列裝置,,2015-09-11
2421552,serial digit operation,串聯數位運算,,2015-09-11
2421553,serial digital,串列數位,,2015-09-11
2421554,serial digital adder,串列數位加法器,,2015-09-11
2421555,serial digital computer,串列數位計算機,,2015-09-11
2421556,serial digital decoder,串列數位解碼器,,2015-09-11
2421557,serial entry,串列登錄,,2015-09-11
2421558,serial entry printer，SEP,串列登錄列印機,,2015-09-11
2421559,serial feedback A/D converter,串列回饋式類比／數位轉換器,,2015-09-11
2421560,serial feeding,串列饋送,,2015-09-11
2421561,serial file,串列檔案,,2015-09-11
2421562,serial file operating system，SERF,串列檔案操作系統,,2015-09-11
2421563,serial file organization,串列檔案組織,,2015-09-11
2421564,serial flow,串列流,,2015-09-11
2421565,serial full adder,串列全加器,,2015-09-11
2421566,serial full subtracter,串列全減器,,2015-09-11
2421567,serial half adder,串列半加器,,2015-09-11
2421568,serial half subtracter,串列半減器,,2015-09-11
2421569,serial I/O card,串列輸出入卡（片）,,2015-09-11
2421570,serial I/O channel,串列輸入輸出通道,,2015-09-11
2421571,serial I/O command,串列輸出入命令,,2015-09-11
2421572,serial I/O control signal,串列輸人輸出控制信號,,2015-09-11
2421573,serial I/O error condition,串列輸出入錯誤條件,,2015-09-11
2421574,serial I/O mode,串列輸入輸出模式,,2015-09-11
2421575,serial inference computer,串列推理計算機,,2015-09-11
2421576,serial infrared，SIR,串聯紅外線,,2015-09-11
2421577,serial input register，SIR,串列輸入暫存器,,2015-09-11
2421578,Serial Input-Output,串列輸出入,,2015-09-11
2421579,serial input/output board，SIB,串列輸入輸出板,,2015-09-11
2421580,serial input/output channel，SIOC,串列輸入輸出通道,,2015-09-11
2421581,serial input/output controller，SIO,串列輸入輸出控制器,,2015-09-11
2421582,serial input/output interface,串列輸入輸出介面,,2015-09-11
2421583,serial input/output，SIO,串列輸入輸出,,2015-09-11
2421584,serial input/parallel output，SIPO,串列輸入平行輸出,,2015-09-11
2421585,serial input/serial output，SISO,串列輸入串列輸出,,2015-09-11
2421586,serial input，SI,串列輸入,,2015-09-11
2421587,Serial Input／Output Controller (,串列輸出入控制器,,2015-09-11
2421588,serial insertion,串列插入,,2015-09-11
2421589,serial intelligent cable,串列智慧電纜,,2015-09-11
2421590,serial interface adaptor，SIA,串列介面配接器,,2015-09-11
2421591,serial interface board，SIB,串列介面板,,2015-09-11
2421592,serial interface，SI,串列介面,,2015-09-11
2421593,serial left list layout,串列左列表布局,,2015-09-11
2421594,serial line,串列線,,2015-09-11
2421595,serial line Internet protocol,串列線網際網路協定,,2015-09-11
2421596,serial line internet protocol，SLIP,串列線網際網路協定,,2015-09-11
2421597,serial line unit，SLU,串列線裝置,,2015-09-11
2421598,serial logic,串列邏輯（電路）,,2015-09-11
2421599,serial loop,串列迴路,,2015-09-11
2421600,serial machine,串列（計算）機,,2015-09-11
2421601,serial machine simulation program，SERMASP,串列（計算）機模擬程式,,2015-09-11
2421602,serial memory,串列記憶體,,2015-09-11
2421603,serial memory address computer，SMAC,串列記憶體位址計算機,,2015-09-11
2421604,serial mode,串列模式,,2015-09-11
2421605,serial mouse,串聯滑鼠,,2015-09-11
2421606,serial multiplier,串列乘法器,,2015-09-11
2421607,serial number,序列號,,2015-09-11
2421608,serial number code,序列號碼,,2015-09-11
2421609,serial number coding of Chinese character,中文字序列號編碼,,2015-09-11
2421610,serial number control,序列號碼控制,,2015-09-11
