系統編號,英文名稱,中文名稱,圖片,更新時間
2431527,token copy,符記複製,,2015-09-11
2431528,token flow path,符記流程路徑,,2015-09-11
2431529,token generation,符記產生,,2015-09-11
2431530,token generation authority,符記產出機關,,2015-09-11
2431531,token holder,符記持有者,,2015-09-11
2431532,token management,符記管理,,2015-09-11
2431533,token matching,符記匹配,,2015-09-11
2431534,token monitor,符記監督器,,2015-09-11
2431535,token name,符記名,,2015-09-11
2431536,token passing,符記傳遞,,2015-09-11
2431537,token passing bus,符記傳遞匯流排,,2015-09-11
2431538,token passing procedure,符記傳遞程序,,2015-09-11
2431539,token passing protocol,符記傳遞協定,,2015-09-11
2431540,token passing system,符記傳遞系統,,2015-09-11
2431541,token replacement,符記替換,,2015-09-11
2431542,token restore,符記復原,,2015-09-11
2431543,token ring,符記環,,2015-09-11
2431544,token ring architecture,符記環架構,,2015-09-11
2431545,token ring LAN,符記環區域網路,,2015-09-11
2431546,token ring local area network,符記環區域網路,,2015-09-11
2431547,token ring network,符記環形網路，符記環網路,,2015-09-11
2431548,token rotation time,符記旋轉時間,,2015-09-11
2431549,token separator,符記分隔符,,2015-09-11
2431550,token storage key,符記儲存鑰,,2015-09-11
2431551,token type ratio,符記型式比,,2015-09-11
2431552,token value,符記值,,2015-09-11
2431553,token-ring interface coupler,符記環介面耦合器,,2015-09-11
2431554,Tokyo electric co.，TEC,東京電氣公司,,2015-09-11
2431555,Tokyo experiment computer network，TECNET,東京實驗性計算機網路,,2015-09-11
2431556,Tokyo experimental computer network，TECNET,東京實驗計算機網路,,2015-09-11
2431557,Tokyo Shilbaura Electric，TOSHIBA,東京芝浦電氣公司,,2015-09-11
2431558,tolerable delay,容許延遲,,2015-09-11
2431559,tolerable error rate,容許錯誤率,,2015-09-11
2431560,tolerable limit,容許極限,,2015-09-11
2431561,tolerance,容許度，容差,,2015-09-11
2431562,tolerance analysis,容差分析,,2015-09-11
2431563,tolerance frequency,容差頻率,,2015-09-11
2431564,tolerance interval,容差區間,,2015-09-11
2431565,toll,收費，長途,,2015-09-11
2431566,toll bypass,長途旁路略過,,2015-09-11
2431567,toll call,長途通話,,2015-09-11
2431568,toll center，TC,長途中心,,2015-09-11
