系統編號,英文名稱,中文名稱,圖片,更新時間
2351539,conceptual schema design,概念簡圖設計,,2015-09-11
2351540,conceptual schema language,概念簡圖語言,,2015-09-11
2351541,conceptual solution,概念解答,,2015-09-11
2351542,conceptual sorting,概念排序,,2015-09-11
2351543,conceptual structure,概念結構,,2015-09-11
2351544,conceptual subschema,概念子綱目,,2015-09-11
2351545,conceptual system,概念系統,,2015-09-11
2351546,conceptual system design,概念系統設計,,2015-09-11
2351547,conceptual system structure,概念系統結構,,2015-09-11
2351548,conceptual taxonomy,概念分類學,,2015-09-11
2351549,conceptual view,概念觀點,,2015-09-11
2351550,conceptualisation,概念化,,2015-09-11
2351551,concert,音樂會,,2015-09-11
2351552,Concert/C,Concert/C 語言,,2015-09-11
2351553,concertina fold,風琴摺,,2015-09-11
2351554,concession,特許權,,2015-09-11
2351555,conciliation,調解,,2015-09-11
2351556,concise command language，CCL,簡明命令語言,,2015-09-11
2351557,conciseness,簡潔性,,2015-09-11
2351558,conclusion,結論,,2015-09-11
2351559,ConCoord,ConCoord 環境,,2015-09-11
2351560,concordance,重要語匯索引,,2015-09-11
2351561,concordance list,重要語匯索引列表,,2015-09-11
2351562,concordance program,重要語匯索引程式,,2015-09-11
2351563,concordance table,重要語匯索引表,,2015-09-11
2351564,concordant,貯存,,2015-09-11
2351565,concourse,穿堂；穿堂層,,2015-09-11
2351566,concrete,具體,,2015-09-11
2351567,concrete block,混凝土地磚,,2015-09-11
2351568,concrete class,具體類別,,2015-09-11
2351569,concrete curing,混凝土固化；混凝土養生,,2015-09-11
2351570,Concrete Data Structure,具體資料結構,,2015-09-11
2351571,concrete invariant,具體不變,,2015-09-11
2351572,concrete program,具體程式,,2015-09-11
2351573,concrete representation,具體表示法,,2015-09-11
2351574,concrete syntax,具體語法,,2015-09-11
2351575,concrete-stripping charge,移除混凝土費用,,2015-09-11
2351576,concurrcnt,同作,,2015-09-11
2351577,concurrency,同作，並行,,2015-09-11
2351578,concurrency axiom,並行公理,,2015-09-11
2351579,concurrency control,並行控制,,2015-09-11
2351580,concurrency control methods，CCM,並行控制法,,2015-09-11
2351581,concurrency controller,同作控制器,,2015-09-11
2351582,concurrency mode,同作模式,,2015-09-11
2351583,concurrency relation,同作關係,,2015-09-11
2351584,concurrent,同作，並行,,2015-09-11
2351585,concurrent audit,並行審計,,2015-09-11
2351586,Concurrent C,同作 C 語言,,2015-09-11
2351587,Concurrent C++,同作 C++ 語言,,2015-09-11
2351588,Concurrent Clean,Concurrent Clean 語言,,2015-09-11
2351589,Concurrent CLU,同作CLU,,2015-09-11
2351590,concurrent computation,同作計算,,2015-09-11
2351591,concurrent computer,同作電腦,,2015-09-11
2351592,concurrent connections,同時連線,,2015-09-11
