系統編號,英文名稱,中文名稱,圖片,更新時間
2411531,program mutation,程式變遷,,2015-09-11
2411532,program name,程式名稱,,2015-09-11
2411533,program offering,程式提供,,2015-09-11
2411534,program operator,程式運算子,,2015-09-11
2411535,program operator interface，POI,程式操作員介面,,2015-09-11
2411536,program opposite,競爭性節目,,2015-09-11
2411537,program optimization,程式最佳化,,2015-09-11
2411538,program oriented graphics operation，POGO,程式導向圖形操作,,2015-09-11
2411539,program origin,程式原點,,2015-09-11
2411540,program overlay,程式覆蓋,,2015-09-11
2411541,program package,程式包,,2015-09-11
2411542,program paging function,程式分頁功能,,2015-09-11
2411543,program parameter,程式參數,,2015-09-11
2411544,program part,程式零件,,2015-09-11
2411545,program partitioning,程式劃分,,2015-09-11
2411546,program patch,程式修補,,2015-09-11
2411547,program patching plugboard,程式修補插板,,2015-09-11
2411548,program path,程式路徑,,2015-09-11
2411549,program portability,程式可移性,,2015-09-11
2411550,program preceding,前導節目,,2015-09-11
2411551,program preparation,程式準備,,2015-09-11
2411552,program preparation aids,程式準備輔助設備,,2015-09-11
2411553,program preprocessor,程式預處理機,,2015-09-11
2411554,program priority,程式優先,,2015-09-11
2411555,program processing,處理程式,,2015-09-11
2411556,program product,程式產品,,2015-09-11
2411557,program production time,程式生產時間,,2015-09-11
2411558,program profile,節目收視反應圖,,2015-09-11
2411559,program protection,程式保護,,2015-09-11
2411560,program quality,程式質量,,2015-09-11
2411561,program read-in,程式讀入,,2015-09-11
2411562,program reference table，PRT,程式參考表,,2015-09-11
2411563,program region,程式區域,,2015-09-11
2411564,program region base register,程式區基底暫存器,,2015-09-11
2411565,program region length register，POLR,程式區長度暫存器,,2015-09-11
2411566,program register,程式暫存器,,2015-09-11
2411567,program reliability,程式可靠度,,2015-09-11
2411568,program relocation,程式再定位,,2015-09-11
2411569,program report generator，PRG,程式報表產生器,,2015-09-11
2411570,program request key，PRK,程式請求鍵,,2015-09-11
2411571,program retry,程式重試,,2015-09-11
2411572,program run,程式運行，程式運轉,,2015-09-11
2411573,program scheduler,程式排程器,,2015-09-11
2411574,program section,程式區段,,2015-09-11
2411575,program segment,程式段,,2015-09-11
2411576,program segment prefix,程式段前置,,2015-09-11
2411577,program segment table,程式段表,,2015-09-11
2411578,program segmenting,程式分段,,2015-09-11
2411579,program separator,節目分隔幅,,2015-09-11
2411580,program service name,程式服務名,,2015-09-11
2411581,program specification,程式規格,,2015-09-11
2411582,program specification block,程式說明塊,,2015-09-11
2411583,program specification block generation,程式說明塊產生,,2015-09-11
2411584,program standard procedures,程式標準程序,,2015-09-11
2411585,program start,程式起始,,2015-09-11
2411586,program state,程式狀態,,2015-09-11
2411587,program statement,程式敘述,,2015-09-11
2411588,program station basis,節目收視率,,2015-09-11
2411589,program status area pointer,程式狀態區指標,,2015-09-11
2411590,Program Status Double Word,程式狀態雙字組,,2015-09-11
2411591,program status register,程式狀態暫存器,,2015-09-11
2411592,program status word location,程式狀態字位置,,2015-09-11
2411593,program status word，PSW,程式狀態字,,2015-09-11
2411594,program step,程式步驟,,2015-09-11
2411595,program stop,程式停止,,2015-09-11
2411596,program storage,程式儲存,,2015-09-11
2411597,program storage unit,程式儲存單位,,2015-09-11
2411598,program structure,程式結構,,2015-09-11
2411599,program structure block,程式結構塊,,2015-09-11
2411600,program support library,程式支援館,,2015-09-11
2411601,program swapping,程式調換,,2015-09-11
2411602,program syntax,程式語法,,2015-09-11
2411603,program synthesis,程式合成,,2015-09-11
2411604,program system testing,程式系統測試,,2015-09-11
2411605,program tab,程式欄標,,2015-09-11
2411606,program tape,程式帶,,2015-09-11
2411607,program template file,程式模板檔案,,2015-09-11
2411608,program temporary fix，PTF,程式暫時固定,,2015-09-11
2411609,program termination,程式終止,,2015-09-11
2411610,program test,程式測試,,2015-09-11
2411611,program test time,程式測試時間,,2015-09-11
2411612,program testing,程式測試,,2015-09-11
2411613,program testing time,程式測試時間,,2015-09-11
2411614,program timing matrix,程式計時矩陣,,2015-09-11
2411615,program to program communication,程式至程式通信,,2015-09-11
2411616,program transferability,程式可移性,,2015-09-11
2411617,program transformation,程式變換,,2015-09-11
2411618,program transformation method,程式轉換方法,,2015-09-11
2411619,program translation,程式翻譯,,2015-09-11
2411620,program transportability,程式可移性,,2015-09-11
2411621,program trap,程式陷阱,,2015-09-11
2411622,program type,程式類型,,2015-09-11
2411623,program understanding,程式理解,,2015-09-11
2411624,program unit,程式單元,,2015-09-11
2411625,program validation,程式確認,,2015-09-11
2411626,program variable,程式變數,,2015-09-11
2411627,program variables and parameters,程式變數與參數,,2015-09-11
2411628,program verbs,程式動詞,,2015-09-11
2411629,program verification,程式驗證,,2015-09-11
2411630,program verifier,程式驗證器,,2015-09-11
2411631,program writing phase,程式撰寫階段,,2015-09-11
2411632,program-control transfer,程式控制轉移,,2015-09-11
2411633,program-controlled channel control，PCC,程式控制通道控制,,2015-09-11
2411634,program-controlled I/O,程式控制輸出入,,2015-09-11
2411635,program-controlled internupt,程式控制岔斷,,2015-09-11
2411636,program-controlled sequential computer,程式控制順序計算機,,2015-09-11
2411637,program-data dependence,程式資料相依性,,2015-09-11
2411638,program-independent modularity,程式獨立模組性,,2015-09-11
2411639,program-item number,程式項目號碼,,2015-09-11
2411640,program-length commercial,廣告節目長度,,2015-09-11
2411641,program-patching plug,程式修補插頭,,2015-09-11
2411642,program-sensitive error,程式有感誤差,,2015-09-11
2411643,program-sensitive fault,程式有感錯失，程式有感故障,,2015-09-11
2411644,program-sensitive malfunction,程式有感失靈,,2015-09-11
2411645,program-to-program interface,程式對程式介面,,2015-09-11
2411646,program-to-program message switch,程式對程式訊息交換,,2015-09-11
2411647,programatics,程式學,,2015-09-11
2411648,programmability,可程式性,,2015-09-11
2411649,programmable,可程式的，（可）程式化,,2015-09-11
2411650,programmable array logic circuit,可程式陣列邏輯電路,,2015-09-11
