系統編號,英文名稱,中文名稱,圖片,更新時間
2367772,,假,,2015-09-11
2331530,(2，7) code,(2，7) 碼,,2015-09-11
2331548,(arithmetic) overflow,（算術）溢位,,2015-09-11
2331547,(arithmetic) underflow,（算術）欠位,,2015-09-11
2331535,(average) transinformation rate,（平均）傳送資訊率,,2015-09-11
2331531,(a，b)-tree,(a，b)-樹,,2015-09-11
2331541,(data) code (in telecommunication),（資料）碼（在電信方面）,,2015-09-11
2331540,(data) processing,（資料）處理,,2015-09-11
2331549,(storage) location,（儲存）位置,,2015-09-11
2331537,(technical) process,（技術）處理,,2015-09-11
2341503,-ware,-體,,2015-09-11
2331551,.3GR files,.3GR 格式檔案,,2015-09-11
2331552,.AFM files,.AFM 格式檔案,,2015-09-11
2331553,.AIF,.AIF 格式檔案,,2015-09-11
2331554,.ARC files,.ARC 格式檔案,,2015-09-11
2331555,.ARJ files,.ARJ 格式檔案,,2015-09-11
2331556,.ART files,.ART 格式檔案,,2015-09-11
2331557,.ASC files,.ASC 格式檔案,,2015-09-11
2331558,.ASP+ files,.ASP+ 格式檔案,,2015-09-11
2331559,.ASPX files,.ASPX 格式檔案,,2015-09-11
2331560,.AU files,.AU 格式檔案,,2015-09-11
2331561,.AVI files,.AVI 格式檔案,,2015-09-11
2331562,.BAT files,.BAT 格式檔案,,2015-09-11
2331563,.BMP files,.BMP 圖形格式檔案,,2015-09-11
2331564,.COM files,.COM 格式檔案,,2015-09-11
2331565,.CPT files,.CPT 格式檔案,,2015-09-11
2331566,.CRD files,.CRD 格式檔案,,2015-09-11
2331567,.DLL files,.DLL 格式檔案,,2015-09-11
2331568,.DOC files,.DOC 文件格式檔案,,2015-09-11
2331569,.DOT files,.DOT 格式檔案,,2015-09-11
2331570,.EPS files,.EPS 格式檔案,,2015-09-11
2331571,.EXE files,.EXE 執行格式檔案,,2015-09-11
2331572,.FON files,.FON 格式檔案,,2015-09-11
2331573,.GIF files,.GIF 圖形格式檔案,,2015-09-11
2331574,.HQX files,.HQX 格式檔案,,2015-09-11
2331575,.HTM files,.HTML 網頁格式檔案,,2015-09-11
2331576,.IEF files,.IEF 格式檔案,,2015-09-11
2331577,.INI files,.INI 格式檔案,,2015-09-11
2331578,.JPG files,.JPG 圖形格式檔案,,2015-09-11
2331579,.ME files,.ME 格式檔案,,2015-09-11
2331580,.MID files,.MID 音樂格式檔案,,2015-09-11
2331581,.MOD files,.MOD 格式檔案,,2015-09-11
2331582,.MOV files,.MOV 影片格式檔案,,2015-09-11
2331583,.MOZ files,.MOZ 格式檔案,,2015-09-11
2331584,.MP3 files,.MP3 格式檔案,,2015-09-11
2331585,.MPG files,.MPG 格式檔案,,2015-09-11
2331586,.newsrc,.newsrc 格式檔案,,2015-09-11
2331587,.PCX files,.PCX 格式檔案,,2015-09-11
2331588,.PDD files,.PDD 格式檔案,,2015-09-11
2331589,.PDF,.PDF 格式檔案,,2015-09-11
2331590,.PDF files,.PDF 格式檔案,,2015-09-11
2331591,.PFA files,.PFA 格式檔案,,2015-09-11
2331592,.PFB files,.PFB 格式檔案,,2015-09-11
2331593,.PFM files,.PFM 格式檔案,,2015-09-11
2331594,.S3M files,.S3M 格式檔案,,2015-09-11
2331595,.SCR files,.SCR 格式檔案,,2015-09-11
2331596,.SEA files,.SEA 格式檔案,,2015-09-11
2331597,.SFL files,.SFL 格式檔案,,2015-09-11
2331598,.SFP files,.SFP 格式檔案,,2015-09-11
2331599,.SIT files,.SIT 格式檔案,,2015-09-11
2331600,.SND files,.SND 格式檔案,,2015-09-11
2331601,.SYS files,.SYS 格式檔案,,2015-09-11
2331602,.TIF files,.TIF 格式檔案；加標影像檔案,,2015-09-11
2331603,.TMP files,.TMP 格式檔案；暫時性檔案,,2015-09-11
2331604,.TTF files,.TTF 字型格式檔案,,2015-09-11
2331605,.TXT files,.TXT 格式檔案；正文檔案,,2015-09-11
2332373,.UUE files,UUE 編碼格式檔案,,2015-09-11
2331606,.VBP files,.VBP 格式檔案,,2015-09-11
2331607,.WAF files,.WAF 格式檔案,,2015-09-11
2331608,.WAV files,.WAV 格式檔案,,2015-09-11
2331609,.WKS files,.WKS 格式檔案,,2015-09-11
2331610,.WMF files,.WMF 格式檔案,,2015-09-11
2331611,.WP5 files,.WP5 格式檔案,,2015-09-11
2331612,.WPD files,.WPD 格式檔案,,2015-09-11
2331613,.XLS files,.XLS 格式檔案,,2015-09-11
2331614,.ZIP files,.ZIP 格式檔案,,2015-09-11
2339555,0-ary function,零元函數,,2015-09-11
2339556,0-based indexing,零基索引,,2015-09-11
2331618,0/1 knapsack problem,0/1 背包問題,,2015-09-11
2432760,1,真,,2015-09-11
2331620,1 1/2 spacing,1.5 倍行間距,,2015-09-11
2331619,1 base-5 ethernet,1 base-5 乙太網路,,2015-09-11
2331651,1-3 tree,1-3樹,,2015-09-11
2338938,1. process,處理；過程,,2015-09-11
2331621,1.TR.6,1.TR.6 控制通道協定,,2015-09-11
2331622,1/2-inch tape back-up,1/2吋磁帶後備,,2015-09-11
2331623,1/4-inch tape cartridge,1/4吋匣式磁帶,,2015-09-11
2334235,10-gigabit ethernet,百億位元乙太網路,,2015-09-11
2331626,100% pure Java,100% 純 Java 程式語言；100% 爪哇程式語言,,2015-09-11
2331627,1000Base-T,1000Base-T 技術 (使用UTP線的基頻傳輸之乙太網路),,2015-09-11
2331628,1000Base-x,1000Base-x 乙太網路規格,,2015-09-11
2331625,100base-cx,100 Mbps 基頻銅纜（乙太網路）,,2015-09-11
2331630,100Base-FX,100Base-FX 乙太網路規格,,2015-09-11
2331631,100Base-T4,100Base-T4 乙太網路規格,,2015-09-11
2331632,100Base-VG-AnyLan,100Base-VG-AnyLan 乙太網路規格,,2015-09-11
2331624,100base-x,100 Mbps 基頻光纜（乙太網路）,,2015-09-11
2331633,100Base-xx,100Base-xx 乙太網路規格（光纖電纜）,,2015-09-11
2331629,100Base?,100Base? 技術,,2015-09-11
2331634,100VG-AnyLAN,100VG-AnyLAN 規格,,2015-09-11
2332374,1024 exabytes,zeta 位元組,,2015-09-11
2331635,1024 petabytes,1024 千兆位元組,,2015-09-11
2331636,1024 terrabytes,1024 兆位元組,,2015-09-11
2332390,1024 zettabytes,二的 80 次方位元組；1024 十億兆位元組,,2015-09-11
2331637,104-key keyboard,104 鍵鍵盤,,2015-09-11
2331638,10base-2 Ethernet,10base-2 乙太網路規格,,2015-09-11
2331641,10Base-FB,10Base-FB 乙太網路規格,,2015-09-11
2331642,10Base-FL,10Base-FL 乙太網路規格,,2015-09-11
2331643,10Base-FP,10Base-FP 乙太網路規格,,2015-09-11
2331644,10Base-n,10Base-n 乙太網路規格,,2015-09-11
2331639,10base2,10base2規格,,2015-09-11
2331640,10base5,10base5規格,,2015-09-11
2331645,10broad36,10broad36規格,,2015-09-11
2331646,110 block,110 段,,2015-09-11
2331649,12-bit FAT,12-位元檔案配置表,,2015-09-11
2331647,128-bit operating systems,128-位元作業系統,,2015-09-11
2331648,128-bit video cards,128-位元視訊卡,,2015-09-11
